time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454806.814428,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.513423568335213,0.33102683857294674,-170.70000000000002,19.3,34.1,-100.9,-103.9,init_state
1716454806.9202018,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.513965172464198,0.32773746116966934,-170.6,20.4,34.1,-100.9,-103.8,init_state
1716454807.0228417,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.513965172464198,0.32773746116966934,-170.6,21.6,34.1,-100.9,-103.8,init_state
1716454807.1345658,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.513386287816278,0.33561531345527557,-170.49999999999997,22.7,34.2,-100.9,-103.8,init_state
1716454807.240293,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5127936546109915,0.3434921433984337,-170.39999999999998,23.7,34.3,-100.9,-103.8,init_state
1716454807.3440108,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5127936546109915,0.3434921433984337,-170.39999999999998,24.7,34.3,-100.9,-103.8,init_state
1716454807.4477034,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5127936546109915,0.3434921433984337,-170.39999999999998,25.6,34.3,-100.9,-103.8,init_state
1716454807.553453,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5127936546109915,0.3434921433984337,-170.39999999999998,26.5,34.3,-100.9,-103.8,init_state
1716454807.6581707,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.5127936546109915,0.3434921433984337,-170.39999999999998,27.3,34.3,-100.9,-103.8,init_state
1716454807.760897,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.518902522079582,0.33908271344686514,-170.2,28.1,34.3,-100.8,-103.7,init_state
1716454807.8635924,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.518902522079582,0.33908271344686514,-170.2,29.0,34.3,-100.8,-103.7,init_state
1716454807.9743268,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.518902522079582,0.33908271344686514,-170.2,29.6,34.3,-100.8,-103.7,init_state
1716454808.0773056,7.760508844909641,-1.5493331546297013,-36.1,-12.4,25.0,-104.7,43.6,4.525607786155069,0.32678776895587486,-170.1,30.3,34.2,-100.7,-103.6,init_state
